action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]","[-0.000000e+00 -0.000000e+00  0.000000e+00 -0.000000e+00 -8.477105e-06
 -0.000000e+00  2.800000e+01]",0.0,0,0,0,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]","[-0.0000000e+00 -0.0000000e+00  0.0000000e+00 -0.0000000e+00
  1.6954211e-05 -0.0000000e+00  4.3323636e+00]",0.033333335,1,0,1,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-2.3114799e-04  4.0110975e-04  2.6514035e-04 -3.3060709e-04
  1.0511610e-03 -5.0862629e-05  4.3323636e+00]",0.06666667,2,0,2,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.604396  -1.5384616
 28.175825 ]","[-0.02169392  0.01374651  0.01137384 -0.01641168  0.07437812 -0.005739
  5.157091  ]",0.1,3,0,3,0
"[-4.879121   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-0.09540974  0.05824929  0.04716779 -0.06804572  0.30544704 -0.02907647
  6.287273  ]",0.13333334,4,0,4,0
"[-4.879121   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-0.18109086  0.11004684  0.08839371 -0.12772454  0.5712975  -0.05529616
  7.570182  ]",0.16666667,5,0,5,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-0.30785513  0.18679477  0.1498043  -0.2174547   0.9691026  -0.09464688
  8.616364  ]",0.2,6,0,6,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-0.45322004  0.27605188  0.22108626 -0.32091776  1.4278921  -0.13977051
  9.968     ]",0.23333333,7,0,7,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-0.62682575  0.3831142   0.305734   -0.44493783  1.9762167  -0.19405788
 11.345091  ]",0.26666668,8,0,8,0
"[-4.967033   3.032967  -2.4175825 -3.5164835 15.692307  -1.5384616
 28.175825 ]","[-0.7961553   0.48784465  0.38906965 -0.56600785  2.5171747  -0.24721782
 12.719636  ]",0.3,9,0,9,0
